,Indicatori,Curve_r2,Line_r2
3,NMIGRATEIN,0.75,0.63
6,TMIGRATE,0.42,0.32
12,POP1564,0.35,0.21
8,GROWTHRATET,0.25,0.21
22,DEPENDRATE,0.34,0.2
4,NMIGRATEAB,0.17,0.16
1,DEATHRATE,0.2,0.13
5,NMIGRATEOR,0.17,0.12
7,GROWTHRATEN,0.21,0.1
23,OLDAGEDEPR,0.23,0.08
15,MEANAGEP,0.22,0.07
9,TFR,0.09,0.07
13,POP65OVER,0.21,0.06
17,LIFEEXP65M,0.06,0.06
21,LIFEEXP65T,0.04,0.04
10,MEANAGECH,0.03,0.02
19,LIFEEXP65F,0.01,0.01
18,LIFEEXP0F,0.01,0.01
0,BIRTHRATE,0.15,0.01
11,POP014,0.09,0.01
14,AGEINDEX,0.13,0.01
2,MARRATE,0.01,0.01
16,LIFEEXP0M,0.01,0.0
20,LIFEEXP0T,0.01,0.0
