,Indicatori,Curve_r2,Line_r2
3,NMIGRATEIN,0.65,0.55
6,TMIGRATE,0.43,0.34
8,GROWTHRATET,0.3,0.27
12,POP1564,0.26,0.14
22,DEPENDRATE,0.25,0.14
9,TFR,0.25,0.19
5,NMIGRATEOR,0.21,0.16
4,NMIGRATEAB,0.17,0.11
7,GROWTHRATEN,0.17,0.04
1,DEATHRATE,0.16,0.08
0,BIRTHRATE,0.16,0.0
23,OLDAGEDEPR,0.16,0.04
13,POP65OVER,0.14,0.02
15,MEANAGEP,0.14,0.02
2,MARRATE,0.11,0.07
11,POP014,0.1,0.04
14,AGEINDEX,0.09,0.0
17,LIFEEXP65M,0.07,0.06
21,LIFEEXP65T,0.05,0.04
19,LIFEEXP65F,0.03,0.02
10,MEANAGECH,0.0,0.0
16,LIFEEXP0M,0.0,0.0
18,LIFEEXP0F,0.0,0.0
20,LIFEEXP0T,0.0,0.0
